1.000000000      2.000000000       0.00	0.000000	0.000000  1592479009.1564
112.679257116      37.720523132       0.00	3.034273	0.000000  1592479009.2579
112.679257115      37.720523135       0.00	3.034237	0.000000  1592479009.3576
112.679257113      37.720523139       0.00	3.034202	0.000000  1592479009.4568
112.679257111      37.720523144       0.00	3.034202	0.000000  1592479009.5567
112.679257108      37.720523149       0.00	3.034255	0.000000  1592479009.6581
112.679257106      37.720523155       0.00	3.034202	0.000000  1592479009.7571
112.679257103      37.720523162       0.00	3.034220	0.000000  1592479009.8569
112.679257100      37.720523170       0.00	3.034220	0.000000  1592479009.9577
112.679257097      37.720523178       0.00	3.034220	0.000000  1592479010.0569
112.679257094      37.720523187       0.00	3.034220	0.000000  1592479010.1580
112.679257107      37.720523136       0.00	3.034185	0.000000  1592479010.2571
112.679257105      37.720523141       0.00	3.034237	0.000000  1592479010.3569
112.679257103      37.720523147       0.00	3.034273	0.000000  1592479010.4569
112.679257101      37.720523154       0.00	3.034325	0.000000  1592479010.5568
112.679257099      37.720523162       0.00	3.034290	0.000000  1592479010.6567
112.679257097      37.720523170       0.00	3.034307	0.000000  1592479010.7566
112.679257095      37.720523179       0.00	3.034307	0.000000  1592479010.8581
112.679257092      37.720523189       0.00	3.034307	0.000000  1592479010.9579
112.679257089      37.720523199       0.00	3.034307	0.000000  1592479011.0569
112.679257086      37.720523210       0.00	3.034290	0.000000  1592479011.1575
112.679257105      37.720523145       0.00	3.034359	0.000000  1592479011.2578
112.679257103      37.720523151       0.00	3.034377	0.000000  1592479011.3572
112.679257102      37.720523157       0.00	3.034395	0.000000  1592479011.4575
112.679257100      37.720523164       0.00	3.034412	0.000000  1592479011.5568
112.679257098      37.720523172       0.00	3.034359	0.000000  1592479011.6576
112.679257096      37.720523180       0.00	3.034377	0.000000  1592479011.7570
112.679257093      37.720523189       0.00	3.034342	0.000000  1592479011.8572
112.679257090      37.720523199       0.00	3.034342	0.000000  1592479011.9591
112.679257087      37.720523209       0.00	3.034377	0.000000  1592479012.0570
112.679257084      37.720523220       0.00	3.034359	0.000000  1592479012.1568
112.679257104      37.720523148       0.00	3.034325	0.000000  1592479012.2582
112.679257102      37.720523153       0.00	3.034359	0.000000  1592479012.3579
112.679257100      37.720523159       0.00	3.034377	0.000000  1592479012.4567
112.679257098      37.720523165       0.00	3.034429	0.000000  1592479012.5568
112.679257095      37.720523172       0.00	3.034429	0.000000  1592479012.6576
112.679257092      37.720523179       0.00	3.034447	0.000000  1592479012.7574
112.679257089      37.720523187       0.00	3.034447	0.000000  1592479012.8568
112.679257086      37.720523196       0.00	3.034429	0.000000  1592479012.9589
112.679257082      37.720523204       0.00	3.034359	0.000000  1592479013.0574
112.679257077      37.720523214       0.00	3.034307	0.000000  1592479013.1571
112.679257101      37.720523144       0.00	3.034290	0.000000  1592479013.2585
112.679257099      37.720523148       0.00	3.034342	0.000000  1592479013.3567
112.679257096      37.720523152       0.00	3.034307	0.000000  1592479013.4573
112.679257094      37.720523156       0.00	3.034325	0.000000  1592479013.5583
112.679257090      37.720523161       0.00	3.034325	0.000000  1592479013.6575
112.679257087      37.720523166       0.00	3.034342	0.000000  1592479013.7612
112.679257083      37.720523171       0.00	3.034359	0.000000  1592479013.8569
112.679257080      37.720523177       0.00	3.034359	0.000000  1592479013.9612
