112.679153778      37.720917703       0.00	1.553395	0.000000  1592805777.4913
112.679153779      37.720917702       0.00	1.553465	0.000000  1592805777.5917
112.679153781      37.720917700       0.00	1.553518	0.000000  1592805777.6912
112.679153782      37.720917698       0.00	1.553535	0.000000  1592805777.7911
112.679153784      37.720917696       0.00	1.553500	0.000000  1592805777.8914
112.679153785      37.720917694       0.00	1.553448	0.000000  1592805777.9912
112.679153787      37.720917692       0.00	1.553518	0.000000  1592805778.0916
112.679153771      37.720917711       0.00	1.553483	0.000000  1592805778.1917
112.679153772      37.720917711       0.00	1.553448	0.000000  1592805778.2911
112.679153773      37.720917710       0.00	1.553500	0.000000  1592805778.3915
112.679153774      37.720917709       0.00	1.553552	0.000000  1592805778.4910
112.679153775      37.720917708       0.00	1.553518	0.000000  1592805778.5914
112.679153777      37.720917706       0.00	1.553535	0.000000  1592805778.6919
112.679153779      37.720917705       0.00	1.553570	0.000000  1592805778.7910
112.679153781      37.720917703       0.00	1.553605	0.000000  1592805778.8911
112.679153782      37.720917701       0.00	1.553587	0.000000  1592805778.9915
112.679153784      37.720917699       0.00	1.553552	0.000000  1592805779.0911
112.679153770      37.720917713       0.00	1.553430	0.000000  1592805779.1914
112.679153770      37.720917712       0.00	1.553448	0.000000  1592805779.2916
112.679153771      37.720917710       0.00	1.553430	0.000000  1592805779.3910
112.679153772      37.720917709       0.00	1.553395	0.000000  1592805779.4918
112.679153773      37.720917706       0.00	1.553413	0.000000  1592805779.5916
112.679153774      37.720917704       0.00	1.553378	0.000000  1592805779.6918
112.679153776      37.720917701       0.00	1.553326	0.000000  1592805779.7912
112.679153775      37.720917703       -0.02	1.554146	0.102948  1592805779.8914
112.679153777      37.720917704       -0.03	1.554146	0.165613  1592805779.9917
112.679153778      37.720917700       0.01	1.554251	-0.085044  1592805780.0913
112.679153766      37.720917717       0.03	1.554757	-0.176803  1592805780.1912
112.679153760      37.720917744       0.06	1.558841	-0.362558  1592805780.2921
112.679153755      37.720917790       0.06	1.561668	-0.362558  1592805780.3912
112.679153743      37.720917885       0.09	1.567690	-0.456554  1592805780.4917
112.679153742      37.720918046       0.22	1.572210	-0.443126  1592805780.5913
112.679153740      37.720918177       0.25	1.576870	-0.257371  1592805780.6917
112.679153741      37.720918288       0.24	1.576905	-0.026856  1592805780.7916
112.679153740      37.720918457       0.30	1.577673	-0.064902  1592805780.8914
112.679153739      37.720918660       0.40	1.578790	-0.161137  1592805780.9914
112.679153735      37.720918894       0.52	1.580553	-0.046998  1592805781.0916
112.679153637      37.720919079       0.52	1.583223	-0.046998  1592805781.1916
112.679153624      37.720919364       0.55	1.584253	-0.320036  1592805781.2912
112.679153604      37.720919633       0.52	1.587150	-0.140995  1592805781.3913
112.679153588      37.720919898       0.52	1.588668	-0.163375  1592805781.4916
112.679153568      37.720920195       0.61	1.591409	-0.212611  1592805781.5914
112.679153545      37.720920538       0.67	1.594044	-0.266323  1592805781.6916
112.679153523      37.720920895       0.67	1.597832	-0.266323  1592805781.7918
112.679153490      37.720921248       0.69	1.602771	-0.163375  1592805781.8917
112.679153463      37.720921614       0.72	1.607256	-0.165613  1592805781.9916
112.679153435      37.720921993       0.74	1.609316	-0.118615  1592805782.0911
112.679153641      37.720922598       0.78	1.611375	0.004476  1592805782.1910
112.679153637      37.720923021       0.81	1.609944	0.232753  1592805782.2911
112.679153639      37.720923452       0.81	1.602998	0.487886  1592805782.3920
112.679153635      37.720923911       0.93	1.601584	0.362558  1592805782.4928
112.679153634      37.720924426       0.93	1.599228	0.362558  1592805782.5910
112.679153627      37.720924922       0.89	1.598599	0.400604  1592805782.6910
112.679153627      37.720925366       0.89	1.597901	0.111901  1592805782.7918
112.679153629      37.720925848       0.94	1.597221	-0.138757  1592805782.8914
112.679153622      37.720926394       0.99	1.596610	0.147709  1592805782.9913
112.679153617      37.720926930       0.96	1.596644	0.062664  1592805783.0910
112.679153703      37.720927801       1.02	1.597028	0.196945  1592805783.1911
112.679153707      37.720928374       1.06	1.596138	0.243943  1592805783.2916
112.679153708      37.720928977       1.06	1.595231	0.243943  1592805783.3918
112.679153708      37.720929528       0.98	1.595632	-0.136518  1592805783.4914
112.679153711      37.720930086       1.03	1.595877	0.062664  1592805783.5910
112.679153716      37.720930687       1.08	1.594236	0.038046  1592805783.6912
112.679153717      37.720931272       1.00	1.594393	-0.033570  1592805783.7913
112.679153727      37.720931810       1.02	1.592962	0.344653  1592805783.8910
112.679153747      37.720932368       0.98	1.586818	0.279751  1592805783.9914
112.679153772      37.720932984       1.05	1.578720	0.624405  1592805784.0913
112.679153772      37.720933651       1.05	1.564443	0.624405  1592805784.1913
112.679153830      37.720934298       1.11	1.547653	0.805684  1592805784.2923
112.679153879      37.720934922       1.11	1.536937	0.358082  1592805784.3915
